MA/PDP PSC, MA/PDP TFN, MS PSC, MS TFN, Date Added, Date Updated, Site, Employer Group Indicator,Endorsed Group Indicator, Group Effective Date, Site Name, Group Number,Contract Number, PBP Number, Employer Id, Branch Id, Contract Year, Subdomain
880436,1-877-530-9725,2LF,1-866-263-8261,07/10/2013,07/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2LG,1-866-263-8279,07/10/2013,07/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2LH,1-866-263-8355,07/10/2013,07/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2LR,1-866-263-9871,07/10/2013,07/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2LT,1-866-277-2310,07/10/2013,07/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2LU,1-866-277-6040,07/10/2013,07/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2LV,1-866-277-7792,07/10/2013,07/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2LW,1-866-278-0993,07/10/2013,07/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2LX,1-866-278-1356,07/10/2013,07/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2J3,1-800-874-0462,07/03/2013,07/03/2013,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2CY,1-866-518-4311,01/20/2015,01/20/2015,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2K4,1-877-443-4160,01/20/2015,01/20/2015,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2BQ,1-866-408-5632,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,37Y,1-888-227-0881,06/17/2015,06/17/2015,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,37Z,1-888-227-1506,06/17/2015,06/17/2015,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2BJ,1-877-545-2587,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2BP,1-888-708-8925,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,37C,1-888-216-8136,06/17/2015,06/17/2015,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,382,1-888-227-2139,06/17/2015,06/17/2015,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,383,1-888-227-9910,06/17/2015,06/17/2015,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,3F4,1-866-314-4598,09/15/2015,09/15/2015,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,36L,1-888-216-8121,06/17/2015,06/17/2015,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,37E,1-888-216-8189,06/17/2015,06/17/2015,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2D2,1-866-519-1082,01/20/2015,01/20/2015,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2J6,1-877-443-3785,01/20/2015,01/20/2015,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2BE,1-877-227-7312,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2BF,1-877-227-7841,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2BG,1-877-545-2585,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2CZ,1-866-518-4319,01/20/2015,01/20/2015,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2DG,1-866-519-2046,01/20/2015,01/20/2015,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2DH,1-866-923-2497,01/20/2015,01/20/2015,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2BH,1-877-545-2586,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2BK,1-877-550-3954,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,5K3,1-866-832-7285,09/22/2014,10/09/2014,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,5K4,1-866-602-8044,09/22/2014,10/09/2014,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,5K6,1-866-602-8155,09/22/2014,10/09/2014,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,5K8,1-866-602-9356,09/22/2014,10/09/2014,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,5K9,1-866-602-9920,09/22/2014,10/09/2014,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,5JZ,1-866-832-0633,09/22/2014,10/09/2014,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,5K5,1-866-602-8153,09/22/2014,10/09/2014,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,5K7,1-866-602-8157,09/22/2014,10/09/2014,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,5KA,1-866-602-9921,09/22/2014,10/09/2014,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,5K2,1-866-832-2401,09/22/2014,10/09/2014,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2BL,1-888-399-8290,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2BM,1-888-486-0503,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2BR,1-866-412-5258,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2DJ,1-877-333-9292,01/20/2015,01/20/2015,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,27K,1-866-265-7909,11/29/2012,11/29/2012,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2B9,1-866-896-8245,12/21/2012,12/27/2012,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2BA,1-866-897-2778,12/21/2012,12/27/2012,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2AV,1-866-878-6116,12/21/2012,12/27/2012,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,29J,1-866-537-8717,01/10/2013,05/31/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,29K,1-866-562-0925,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,29L,1-866-562-0935,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,29R,1-866-609-7918,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,29T,1-866-609-7920,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,29W,1-866-874-0808,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2AF,1-866-874-9761,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2AG,1-866-874-9762,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2AH,1-866-874-9764,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2AJ,1-866-874-9765,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2AM,1-866-877-0297,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2AN,1-866-877-0537,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2AP,1-866-877-1727,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2AZ,1-866-887-0862,01/10/2013,05/31/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2B2,1-866-887-1222,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2B4,1-866-896-5639,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2B7,1-866-896-8227,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,9SQ,1-866-408-6116,05/31/2013,05/31/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2AY,1-866-885-2441,01/10/2013,05/31/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2B3,1-866-887-2951,01/10/2013,05/31/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,5UW,1-866-865-3259,03/25/2015,03/25/2015,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,5V4,1-866-865-7928,03/25/2015,03/25/2015,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2B8,1-866-896-8244,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,5UY,1-866-865-6738,03/25/2015,03/25/2015,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2CX,1-866-518-4298,01/20/2015,01/20/2015,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,ACG,877-471-2049,08/11/2014,08/11/2014,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,29Q,1-866-609-7884,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,29U,1-866-844-0904,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,29X,1-866-874-9270,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,29Y,1-866-874-9758,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,29Z,1-866-874-9760,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2AK,1-866-874-9766,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2AL,1-866-874-9767,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2AW,1-866-878-6458,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2CS,1-866-516-0809,01/20/2015,01/20/2015,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2C7,1-866-515-2686,01/20/2015,01/20/2015,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2BZ,1-866-515-0903,01/20/2015,01/20/2015,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2CR,1-866-515-4567,01/20/2015,01/20/2015,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2CU,1-866-517-4868,01/20/2015,01/20/2015,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2CV,1-866-518-4294,01/20/2015,01/20/2015,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2CW,1-866-518-4295,01/20/2015,01/20/2015,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,9RC,1-866-362-3642,05/12/2012,05/12/2012,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,9RE,1-866-362-4657,05/12/2012,05/12/2012,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,9RD,1-866-362-3672,05/12/2012,05/12/2012,AARPMedicarePlans,N,,,,,,,,,,
880437,1-877-517-5275,2AX,1-866-884-8526,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
